,precision,recall,f1-score,support
0,1.0,1.0,1.0,7.0
1,1.0,1.0,1.0,5.0
2,1.0,0.8,0.8888888888888888,5.0
3,1.0,1.0,1.0,7.0
4,1.0,0.8,0.8888888888888888,5.0
5,1.0,1.0,1.0,6.0
6,1.0,1.0,1.0,7.0
7,0.75,1.0,0.8571428571428571,6.0
8,0.6,0.6,0.6,5.0
9,0.8,0.8,0.8,5.0
10,1.0,0.8,0.8888888888888888,5.0
11,1.0,1.0,1.0,6.0
12,0.8333333333333334,1.0,0.9090909090909091,5.0
13,0.875,1.0,0.9333333333333333,7.0
14,1.0,1.0,1.0,6.0
15,0.8571428571428571,1.0,0.9230769230769231,6.0
16,1.0,1.0,1.0,5.0
17,1.0,1.0,1.0,4.0
18,1.0,1.0,1.0,7.0
19,1.0,1.0,1.0,7.0
20,1.0,0.8333333333333334,0.9090909090909091,6.0
21,1.0,1.0,1.0,4.0
22,0.5,0.6,0.5454545454545454,5.0
23,0.75,0.75,0.75,4.0
24,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
25,0.8333333333333334,1.0,0.9090909090909091,5.0
26,1.0,0.8333333333333334,0.9090909090909091,6.0
27,0.875,1.0,0.9333333333333333,7.0
28,0.3333333333333333,0.2,0.25,5.0
29,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
